timestamp,user,message
Mon Apr 06 22:19:45 PDT 2009,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
Mon Apr 06 22:19:49 PDT 2009,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
Mon Apr 06 22:19:53 PDT 2009,mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
Mon Apr 06 22:19:57 PDT 2009,ElleCTF,my whole body feels itchy and like its on fire
Mon Apr 06 22:19:57 PDT 2009,Karoli,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there."
Mon Apr 06 22:20:00 PDT 2009,joy_wolf,@Kwesidei not the whole crew
Mon Apr 06 22:20:03 PDT 2009,mybirch,Need a hug
Mon Apr 06 22:20:03 PDT 2009,coZZ,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
Mon Apr 06 22:20:05 PDT 2009,2Hood4Hollywood,@Tatiana_K nope they didn't have it
Mon Apr 06 22:20:09 PDT 2009,mimismo,@twittera que me muera ?
Mon Apr 06 22:20:16 PDT 2009,erinx3leannexo,spring break in plain city... it's snowing
Mon Apr 06 22:20:17 PDT 2009,pardonlauren,I just re-pierced my ears
Mon Apr 06 22:20:19 PDT 2009,TLeC,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
Mon Apr 06 22:20:19 PDT 2009,robrobbierobert,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore"
Mon Apr 06 22:20:20 PDT 2009,bayofwolves,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
Mon Apr 06 22:20:20 PDT 2009,HairByJess,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
Mon Apr 06 22:20:22 PDT 2009,lovesongwriter,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
Mon Apr 06 22:20:25 PDT 2009,armotley,about to file taxes
Mon Apr 06 22:20:31 PDT 2009,starkissed,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
Mon Apr 06 22:20:34 PDT 2009,gi_gi_bee,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks?
Mon Apr 06 22:20:37 PDT 2009,quanvu,@alydesigns i was out most of the day so didn't get much done
